2019-06-23 03:10:44.816802, INFO, BHS_INTF, BaseOp::EvalState: scanner [UNINIT,NOT_USED_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 03:10:45.721979, INFO, BHS_INTF, BaseOp::EvalState: scanner [UNINIT,IDLE_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 03:10:45.796230, INFO, BHS_INTF, BaseOp::EvalState: scanner [IDLE,IDLE_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 03:13:45.587393, INFO, BHS_INTF, BaseOp::EvalState: scanner [CAL_SERVICE,IMAGE_QUALITY_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [true]
2019-06-23 03:13:45.597761, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,GOING_TO_SCAN_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 03:13:45.647337, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,POWERLINK_COMM_CHECK_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 03:13:51.607546, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,CONVEYOR_RUNOUT_SS] conveyor [IDLE] = flushing [true] scanning [false] mode [FlushNoEntry] in diagnostic [false]
2019-06-23 03:13:51.609861, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,CONVEYOR_RUNOUT_SS] conveyor [ACCEL] = flushing [true] scanning [false] mode [FlushNoEntry] in diagnostic [false]
2019-06-23 03:13:52.320051, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,CONVEYOR_RUNOUT_SS] conveyor [RUNNING] = flushing [true] scanning [false] mode [FlushNoEntry] in diagnostic [false]
2019-06-23 03:14:36.806753, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,CONVEYOR_RUNOUT_SS] conveyor [DECEL] = flushing [true] scanning [false] mode [FlushNoEntry] in diagnostic [false]
2019-06-23 03:14:38.019556, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,CONVEYOR_RUNOUT_SS] conveyor [IDLE] = flushing [true] scanning [false] mode [FlushNoEntry] in diagnostic [false]
2019-06-23 03:14:38.756502, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,GANTRY_SPINUP_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 03:14:40.958904, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,CALIBRATING_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 03:14:42.149057, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,XRAY_ENERGIZING_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 03:14:46.353639, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,CALIBRATING_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 03:14:53.668128, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,CONVEYOR_STARTUP_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [Autonomous] in diagnostic [false]
2019-06-23 03:14:53.830667, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,CONVEYOR_STARTUP_SS] conveyor [ACCEL] = flushing [false] scanning [true] mode [Autonomous] in diagnostic [false]
2019-06-23 03:14:54.498620, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,CONVEYOR_STARTUP_SS] conveyor [RUNNING] = flushing [false] scanning [true] mode [Autonomous] in diagnostic [false]
2019-06-23 03:14:54.836405, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,SCANNING_SS] conveyor [RUNNING] = flushing [false] scanning [true] mode [Autonomous] in diagnostic [false]
2019-06-23 03:15:18.017739, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,IMAGE_QUALITY_SS] conveyor [RUNNING] = flushing [false] scanning [false] mode [AutonomousOneBag] in diagnostic [true]
2019-06-23 03:15:43.740716, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,IMAGE_QUALITY_SS] conveyor [DECEL] = flushing [false] scanning [false] mode [AutonomousOneBag] in diagnostic [true]
2019-06-23 03:15:44.980788, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,IMAGE_QUALITY_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousOneBag] in diagnostic [true]
2019-06-23 03:15:47.919044, INFO, BHS_INTF, BaseOp::EvalState: scanner [IDLE,IDLE_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 03:48:46.998994, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,GOING_TO_SCAN_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 03:48:47.043549, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,POWERLINK_COMM_CHECK_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 03:48:47.098940, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,GOING_TO_SCAN_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 03:48:47.199894, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,GANTRY_SPINUP_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 03:48:49.402534, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,CALIBRATING_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 03:48:50.373599, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,XRAY_ENERGIZING_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 03:48:54.578258, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,CALIBRATING_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 03:49:01.567811, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,CONVEYOR_STARTUP_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [Autonomous] in diagnostic [false]
2019-06-23 03:49:01.608547, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,CONVEYOR_STARTUP_SS] conveyor [ACCEL] = flushing [false] scanning [true] mode [Autonomous] in diagnostic [false]
2019-06-23 03:49:02.320263, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,CONVEYOR_STARTUP_SS] conveyor [RUNNING] = flushing [false] scanning [true] mode [Autonomous] in diagnostic [false]
2019-06-23 03:49:02.725700, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,SCANNING_SS] conveyor [RUNNING] = flushing [false] scanning [true] mode [Autonomous] in diagnostic [false]
2019-06-23 04:12:23.572908, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,SCANNING_SS] conveyor [DECEL] = flushing [false] scanning [true] mode [Autonomous] in diagnostic [false]
2019-06-23 04:12:23.674084, INFO, BHS_INTF, BaseOp::EvalState: scanner [IDLE,IDLE_SS] conveyor [DECEL] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 04:12:24.817467, INFO, BHS_INTF, BaseOp::EvalState: scanner [IDLE,IDLE_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 04:13:20.459740, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,GOING_TO_SCAN_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 04:13:20.460125, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,POWERLINK_COMM_CHECK_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 04:13:20.559819, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,GOING_TO_SCAN_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 04:13:21.462703, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,CONVEYOR_RUNOUT_SS] conveyor [IDLE] = flushing [true] scanning [false] mode [FlushNoEntry] in diagnostic [false]
2019-06-23 04:13:21.628119, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,CONVEYOR_RUNOUT_SS] conveyor [ACCEL] = flushing [true] scanning [false] mode [FlushNoEntry] in diagnostic [false]
2019-06-23 04:13:22.319375, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,CONVEYOR_RUNOUT_SS] conveyor [RUNNING] = flushing [true] scanning [false] mode [FlushNoEntry] in diagnostic [false]
2019-06-23 04:14:07.512026, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,CONVEYOR_RUNOUT_SS] conveyor [DECEL] = flushing [true] scanning [false] mode [FlushNoEntry] in diagnostic [false]
2019-06-23 04:14:08.702059, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,CONVEYOR_RUNOUT_SS] conveyor [IDLE] = flushing [true] scanning [false] mode [FlushNoEntry] in diagnostic [false]
2019-06-23 04:14:09.614200, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,GANTRY_SPINUP_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 04:14:11.816825, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,CALIBRATING_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 04:14:12.895940, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,XRAY_ENERGIZING_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 04:14:17.100470, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,CALIBRATING_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 04:14:24.206076, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,CONVEYOR_STARTUP_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [Autonomous] in diagnostic [false]
2019-06-23 04:14:24.541620, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,CONVEYOR_STARTUP_SS] conveyor [ACCEL] = flushing [false] scanning [true] mode [Autonomous] in diagnostic [false]
2019-06-23 04:14:25.169191, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,CONVEYOR_STARTUP_SS] conveyor [RUNNING] = flushing [false] scanning [true] mode [Autonomous] in diagnostic [false]
2019-06-23 04:14:25.362938, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,SCANNING_SS] conveyor [RUNNING] = flushing [false] scanning [true] mode [Autonomous] in diagnostic [false]
2019-06-23 04:15:57.550717, INFO, BHS_INTF, DiebackResponseCommand::Sent SCANNER IDLE message and disabling RTR
2019-06-23 04:15:57.784748, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,SCANNING_SS] conveyor [DECEL] = flushing [false] scanning [true] mode [Autonomous] in diagnostic [false]
2019-06-23 04:15:57.956702, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,SCANNING_NOT_RTR_SS] conveyor [DECEL] = flushing [false] scanning [true] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 04:15:59.017210, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,SCANNING_NOT_RTR_SS] conveyor [IDLE] = flushing [false] scanning [true] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 04:16:07.083930, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,XRAY_MINIMIZED_SS] conveyor [IDLE] = flushing [false] scanning [true] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 04:16:55.591342, INFO, BHS_INTF, BaseOp::EvalState: scanner [IDLE,IDLE_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 04:16:58.206552, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,GOING_TO_SCAN_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 04:16:58.206761, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,POWERLINK_COMM_CHECK_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 04:16:58.306625, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,GOING_TO_SCAN_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 04:16:59.209770, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,CONVEYOR_RUNOUT_SS] conveyor [IDLE] = flushing [true] scanning [false] mode [FlushNoEntry] in diagnostic [false]
2019-06-23 04:16:59.374797, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,CONVEYOR_RUNOUT_SS] conveyor [ACCEL] = flushing [true] scanning [false] mode [FlushNoEntry] in diagnostic [false]
2019-06-23 04:16:59.388039, INFO, BHS_INTF, DiebackResponseCommand::Sent SCANNER RUNNING message.
2019-06-23 04:17:00.053294, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,CONVEYOR_RUNOUT_SS] conveyor [RUNNING] = flushing [true] scanning [false] mode [FlushNoEntry] in diagnostic [false]
2019-06-23 04:17:45.257837, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,CONVEYOR_RUNOUT_SS] conveyor [DECEL] = flushing [true] scanning [false] mode [FlushNoEntry] in diagnostic [false]
2019-06-23 04:17:46.540908, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,CONVEYOR_RUNOUT_SS] conveyor [IDLE] = flushing [true] scanning [false] mode [FlushNoEntry] in diagnostic [false]
2019-06-23 04:17:47.359671, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,GANTRY_SPINUP_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 04:17:49.562433, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,CALIBRATING_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 04:17:50.859336, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,XRAY_ENERGIZING_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 04:17:55.063810, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,CALIBRATING_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 04:18:02.280635, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,CONVEYOR_STARTUP_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [Autonomous] in diagnostic [false]
2019-06-23 04:18:02.282836, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,CONVEYOR_STARTUP_SS] conveyor [ACCEL] = flushing [false] scanning [true] mode [Autonomous] in diagnostic [false]
2019-06-23 04:18:02.911022, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,CONVEYOR_STARTUP_SS] conveyor [RUNNING] = flushing [false] scanning [true] mode [Autonomous] in diagnostic [false]
2019-06-23 04:18:03.437482, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,SCANNING_SS] conveyor [RUNNING] = flushing [false] scanning [true] mode [Autonomous] in diagnostic [false]
2019-06-23 04:19:11.976068, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,SCANNING_NOT_RTR_SS] conveyor [RUNNING] = flushing [false] scanning [true] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 04:19:27.066979, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,SCANNING_SS] conveyor [RUNNING] = flushing [false] scanning [true] mode [Autonomous] in diagnostic [false]
2019-06-23 04:20:37.697322, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,SCANNING_SS] conveyor [DECEL] = flushing [false] scanning [true] mode [Autonomous] in diagnostic [false]
2019-06-23 04:20:37.781939, INFO, BHS_INTF, BaseOp::EvalState: scanner [IDLE,IDLE_SS] conveyor [DECEL] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 04:20:38.915882, INFO, BHS_INTF, BaseOp::EvalState: scanner [IDLE,IDLE_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 04:20:47.850495, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,GOING_TO_SCAN_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 04:20:47.850669, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,POWERLINK_COMM_CHECK_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 04:20:47.950365, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,GOING_TO_SCAN_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 04:20:48.051188, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,GANTRY_SPINUP_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 04:20:50.253767, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,CALIBRATING_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 04:20:51.315242, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,XRAY_ENERGIZING_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 04:20:54.791017, INFO, BHS_INTF, BaseOp::EvalState: scanner [SCAN,XRAY_ENERGIZING_SS] conveyor [FAULT] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 04:42:46.652719, INFO, BHS_INTF, BaseOp::EvalState: scanner [UNINIT,NOT_USED_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 04:42:47.583242, INFO, BHS_INTF, BaseOp::EvalState: scanner [UNINIT,IDLE_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
2019-06-23 04:42:47.661595, INFO, BHS_INTF, BaseOp::EvalState: scanner [IDLE,IDLE_SS] conveyor [IDLE] = flushing [false] scanning [false] mode [AutonomousNoEntry] in diagnostic [false]
